Jurisdiction,AIAN_deaths,AIAN_pop,OD_rate_AIAN,Standard_Error,CI_lower,CI_upper
Tribal Authority,17157,19944594,8.602331037673667e-4,6.5646049807839075e-6,8.473664780050303e-4,8.730997295297032e-4
State,16805,16276885,0.0010324457044452915,7.96019404727387e-6,0.0010168437241126348,0.0010480476847779482
