Model,State Criminal Jurisdiction Coefficient Estimate,Standard_Error,CI_lower,CI_upper
No Controls,1.72E-04,3.63E-05,1.01E-04,2.44E-04
Controls,5.31E-04,1.52E-04,2.32E-04,8.29E-04
