Jurisdiction,AIAN_deaths,AIAN_pop,OD_rate_AIAN,Standard_Error,CI_lower,CI_upper
Tribal Authority,27159,46147088,5.885311766584275e-4,3.5701359221234453e-6,5.815337102510655e-4,5.955286430657894e-4
State,18137.5,33460190,5.420620743635944e-4,4.023857300676449e-6,5.341753140542686e-4,5.499488346729203e-4
